"Runtime","Genre","Rating","Gross_Pendapatan"
110,"Comedy",2.8,NA
113,"Action",7.9,NA
161,"Comedy",7.6,142.5
130,"Comedy",7.9,165.36
128,"Action",6.2,NA
152,"Drama",7.3,62.25
122,"Crime",8.5,335.45
86,"Animation",5.8,100.04
181,"Action",8.4,858.37
132,"Comedy",8.6,53.37
148,"Drama",7.1,NA
84,"Drama",7.1,27.33
119,"Drama",8.3,159.23
108,"Comedy",7.9,NA
108,"Fantasy",6.7,0.35
135,"Drama",7.8,108.1
105,"Drama",5.3,NA
135,"Crime",7.4,NA
109,"Biography",6.8,12.14
109,"Drama",7.5,0.43
152,"Action",8.1,NA
118,"Biography",6.8,117.62
117,"Action",5.7,20.55
95,"Comedy",6.8,26.74
169,"Drama",6.5,211.59
141,"Action",6.6,NA
137,"Biography",7.6,515.2
116,"Horror",6.9,175.08
97,"Comedy",7.6,13.12
123,"Action",6.7,316.83
129,"Action",7.5,NA
119,"Comedy",6.4,NA
138,"Action",6.7,390.53
209,"Biography",7.9,NA
118,"Action",4.8,7
121,"Biography",7.3,NA
131,"Biography",7.5,96.37
118,"Animation",6.9,NA
94,"Drama",6.4,NA
140,"Biography",7.2,543.64
109,"Biography",7.3,NA
128,"Action",6.1,NA
99,"Action",6.6,NA
94,"Horror",7,61.7
122,"Action",7.3,85.71
123,"Action",6.9,NA
109,"Biography",6.2,NA
108,"Drama",6,426.83
128,"Adventure",7,NA
110,"Biography",6.6,NA
122,"Action",7.3,355.56
132,"Action",7.1,140.37
103,"Animation",6.9,NA
95,"Horror",5.8,477.37
122,"Drama",8.1,3.76
110,"Comedy",6.3,NA
98,"Crime",6.8,80.55
118,"Action",6.3,35.4
123,"Adventure",6.6,113.93
119,"Adventure",6.6,NA
144,"Crime",6.8,62.74
108,"Adventure",6.2,171.02
130,"Action",7.4,173.96
137,"Action",6.4,26.8
99,"Action",6.7,22.68
102,"Comedy",7.2,434.04
100,"Animation",7.8,NA
97,"Comedy",5.8,2
137,"Comedy",8,NA
126,"Biography",7.6,NA
116,"Comedy",6.8,NA
111,"Horror",6.2,NA
97,"Action",6,73.29
113,"Action",5.8,NA
112,"Drama",5.8,NA
92,"Comedy",6.6,65.85
118,"Action",6.6,7.74
120,"Action",5.2,21.9
122,"Drama",7.4,NA
78,"Comedy",6,96.85
112,"Biography",7.3,NA
132,"Crime",7.1,NA
113,"Crime",6.6,NA
102,"Animation",6.8,NA
98,"Action",6.3,NA
90,"Drama",5.8,NA
90,"Horror",5.4,0.4
129,"Drama",6.7,NA
96,"Comedy",5,111.05
90,"Horror",5.8,NA
87,"Horror",5.8,NA
169,"Drama",7.3,NA
92,"Horror",6.3,NA
102,"Biography",5.6,NA
123,"Biography",5.8,29.21
132,"Action",6,NA
94,"Drama",7.3,110.5
99,"Action",6.3,NA
115,"Horror",5.5,57.01
90,"Drama",6.1,17.3
